,0
217,1.4264884
218,1.3353524
219,1.4136791
220,1.3403572
221,1.4178939
222,1.3450387
223,1.4304757
224,1.350764
225,1.4351599
226,1.3455687
227,1.4231235
228,1.3513166
229,1.4272537
230,1.3276507
231,1.4011923
232,1.3308872
233,1.4038975
234,1.3313165
235,1.4018698
236,1.3343074
237,1.4009854
238,1.3317267
239,1.3325853
240,1.3351437
241,1.4012743
242,1.3347671
243,1.4021037
244,1.3379829
245,1.4014105
246,1.3383024
247,1.4014627
248,1.3415085
249,1.3346534
250,1.4072436
251,1.340085
252,1.4105233
253,1.3364896
254,1.401142
255,1.3402703
256,1.4048308
257,1.3454067
258,1.4150482
259,1.3506638
260,1.4200715
261,1.3445075
262,1.4078058
263,1.3500355
264,1.4123077
265,1.34043
266,1.4005924
267,1.3428222
268,1.399864
269,1.3444006
270,1.3469794
271,1.3456309
272,1.4019036
273,1.350178
274,1.3493919
275,1.3522612
276,2.5677166
277,2.0525036
278,2.5959144
279,2.119886
280,2.5354254
281,2.2422454
282,2.5701492
283,2.1676798
284,2.5472434
285,2.204411
286,3.0857477
287,3.0717773
288,3.114406
289,2.9368942
290,3.0775778
291,2.9795668
292,2.4139876
293,1.6803023
294,2.24698
295,1.4935492
296,2.3526433
297,1.5870719
298,2.985333
299,2.9480884
300,3.021982
301,3.004512
302,2.9739957
303,2.4682431
304,1.7769623
305,2.5064728
306,1.8756495
307,2.4237518
308,1.6900146
309,2.4761796
310,1.7869965
311,3.0850282
312,2.888772
313,3.0830479
314,2.9471838
315,3.0479457
316,2.8325005
317,3.0581005
318,2.902201
319,2.141958
320,1.4111688
321,2.272024
322,1.4991491
323,2.0302157
324,1.345431
325,2.1747572
326,1.4149177
327,3.0372386
328,2.9805443
329,2.9801745
330,2.998171
331,3.0528219
332,2.9484117
333,3.003813
334,2.9786863
335,2.368258
336,1.5965092
337,2.4355645
338,1.6998372
339,2.2966163
340,1.5060481
341,2.3837776
342,1.6070403
343,2.9108572
344,2.874573
345,2.936153
346,2.8996165
347,2.5377374
348,1.9752682
349,2.570135
350,2.0570898
351,2.5105639
352,1.8877975
353,2.5408466
354,1.9847813
355,2.8630135
356,2.5840182
357,2.1218767
358,2.5589209
359,2.1646676
360,2.5744698
361,2.0616283
362,2.573659
363,2.1209714
364,2.9622183
365,2.9242523
366,2.945739
367,2.9862483
368,2.949909
369,2.4844172
370,1.7982432
371,2.5180802
372,1.8989593
373,2.4479125
374,1.7092324
375,2.4936955
376,1.810141
377,2.8880098
378,2.8474786
379,2.9125736
380,2.8641193
381,2.5475683
382,1.992432
383,2.5803423
