x,y,z,Ni
243559.0,1717870.0,404.2,2.07
243559.0,1717895.0,411.1,2.11
243559.0,1717895.0,408.1,2.02
243559.0,1717895.0,405.1,2.02
243559.0,1717945.0,409.3,1.613333
243534.0,1717595.0,388,1.71
243534.0,1717620.0,387.5,2.116667
243534.0,1717620.0,384.5,2.45
243534.0,1717645.0,394,1.84
243534.0,1717645.0,391,2.44
243534.0,1717645.0,388,2.44
243534.0,1717645.0,385,2.44
243534.0,1717670.0,401.6,1.996667
243534.0,1717670.0,398.6,2.15
243534.0,1717695.0,408.3,1.576667
243534.0,1717695.0,405.3,1.99
243534.0,1717695.0,402.3,1.99
243534.0,1717720.0,403.4,2.22
243534.0,1717720.0,400.4,1.95
243534.0,1717720.0,397.4,1.95
243534.0,1717720.0,394.4,1.95
243534.0,1717745.0,407.7,2.686666
243534.0,1717745.0,404.7,2.49
243534.0,1717745.0,401.7,2.49
243534.0,1717745.0,398.7,2.49
243534.0,1717745.0,395.7,2.49
243534.0,1717770.0,405.3,1.93
243534.0,1717770.0,402.3,2.25
243534.0,1717795.0,414.7,1.84
243534.0,1717795.0,411.7,1.84
243534.0,1717795.0,408.7,1.996667
243534.0,1717795.0,405.7,2.31
243534.0,1717795.0,402.7,2.31
243534.0,1717795.0,399.7,2.31
243534.0,1717845.0,415.1,1.67
243534.0,1717845.0,412.1,1.61
243534.0,1717870.0,414.2,1.67
243534.0,1717870.0,411.2,1.95
243534.0,1717870.0,408.2,1.95
243534.0,1717895.0,409.3,1.89
243534.0,1717895.0,406.3,1.89
243534.0,1717895.0,403.3,1.89
243534.0,1717920.0,416.1,1.34
243534.0,1717920.0,413.1,2.36
243534.0,1717920.0,410.1,2.36
243534.0,1717920.0,407.1,2.36
243534.0,1717920.0,404.1,2.36
243534.0,1717920.0,401.1,2.36
243534.0,1717945.0,405.4,1.786667
243534.0,1717970.0,409.5,1.683333
243534.0,1717970.0,406.5,1.73
243534.0,1717970.0,403.5,1.73
243522.0,1717958.0,415.1,2.16
243522.0,1717958.0,412.1,1.92
243522.0,1717958.0,409.1,1.92
