,0
312,3.222266
313,3.2453718
314,3.1799178
315,3.363599
316,3.2380745
317,3.2927036
318,3.2047834
319,2.3697686
320,1.377669
321,2.472257
322,1.4318745
323,2.271553
324,1.3492548
325,2.3821785
326,1.380181
327,3.1711252
328,3.1299708
329,3.0923066
330,3.0798995
331,3.2187493
332,3.1571293
333,3.1432993
334,3.10673
335,2.5706866
336,1.5111345
337,2.6528628
338,1.6021477
339,2.485547
340,1.4321615
341,2.5812047
342,1.5121047
343,2.9754426
344,2.9189987
345,3.0017748
346,2.9471033
347,2.7479832
348,1.9104288
349,2.7156267
350,2.012113
351,2.7638583
352,1.8065394
353,2.7329996
354,1.9171884
355,2.8896484
356,2.6815693
357,2.092005
358,2.6477087
359,2.1582525
360,2.7003882
361,2.0164945
362,2.665927
363,2.090518
364,3.0278506
365,2.9736407
366,3.063866
367,3.0554354
368,3.002209
369,2.719695
370,1.7055231
371,2.7505248
372,1.8144969
373,2.6607845
374,1.6101967
375,2.7175844
376,1.714777
377,2.9178302
378,2.860473
379,2.9459078
380,2.888135
381,2.7180707
382,1.924972
383,2.684822
384,2.0165427
385,2.7359831
386,1.8232855
387,2.7032957
388,1.9323027
389,1.5647124
390,1.678258
391,1.58516
392,1.977236
393,1.624163
394,1.9836985
395,1.8977976
396,1.9275204
397,1.6479032
398,1.7428102
399,1.6577712
400,1.6366001
401,1.6863151
402,1.6890225
403,1.6207261
404,1.557787
405,1.5886989
406,1.6205031
407,1.8085574
408,1.6031437
409,1.883576
410,1.6778626
411,1.7475873
412,1.6501734
413,1.8122241
414,1.6662669
415,1.7131331
416,1.6255455
417,1.670195
418,1.6630898
419,1.5927118
420,1.6979028
421,1.6415606
422,1.6487824
423,1.563737
424,1.6883962
425,1.597534
426,1.725833
427,1.694509
428,1.7114847
429,1.7523546
430,1.7316146
431,1.6464838
432,1.7649795
433,1.7003514
434,1.592223
435,1.9236019
436,1.5838746
437,1.9478657
438,1.6241721
439,1.8821766
440,1.6133672
441,1.9137778
442,1.766068
443,1.8216884
444,1.7172413
445,1.7693003
446,1.5773084
447,1.9672669
448,1.5914667
449,1.9869508
450,1.6033075
451,1.9432226
452,1.5912781
453,1.9669839
454,1.8571869
455,1.8890013
456,1.8227017
457,1.8501097
458,1.6817204
459,1.8173882
460,1.6539626
461,1.8762337
462,1.7470703
463,1.7575313
464,1.7164478
465,1.8225918
466,1.7211068
467,1.6341804
468,1.9050283
469,1.6236964
470,1.934226
471,1.6866508
472,1.8686547
473,1.655907
474,1.896857
475,1.7729036
476,1.8181065
477,1.7747632
478,2.392341
479,2.3541963
480,2.3882961
481,2.5942614
482,2.2884202
483,2.5595872
484,2.3428748
485,2.3897853
486,2.3804824
487,2.368432
488,2.3681889
489,2.3948755
490,2.3836396
491,2.373885
492,2.3660035
493,2.3716192
494,2.3626778
495,2.3599381
496,2.3509269
497,2.61266
498,2.2204444
499,2.5775301
500,2.282998
501,2.6319704
502,2.1536472
503,2.5963163
