X,Y,Z
243429.341,1717572.088,390.372
243429.341,1717572.088,392.872
243431.841,1717569.588,390.372
243431.841,1717569.588,392.872
243431.841,1717572.088,390.372
243431.841,1717572.088,392.872
243429.341,1717574.588,385.372
243429.341,1717574.588,387.872
243429.341,1717577.088,385.372
243429.341,1717577.088,387.872
243431.841,1717574.588,385.372
243431.841,1717574.588,387.872
243431.841,1717577.088,385.372
243431.841,1717577.088,387.872
243429.341,1717574.588,390.372
243429.341,1717574.588,392.872
243429.341,1717577.088,390.372
243429.341,1717577.088,392.872
243431.841,1717574.588,390.372
243431.841,1717574.588,392.872
243431.841,1717577.088,390.372
243431.841,1717577.088,392.872
243424.341,1717579.588,387.872
243424.341,1717582.088,387.872
243426.841,1717579.588,387.872
243426.841,1717582.088,387.872
243424.341,1717579.588,390.372
243424.341,1717579.588,392.872
243424.341,1717582.088,390.372
243424.341,1717582.088,392.872
243426.841,1717579.588,390.372
243426.841,1717579.588,392.872
243426.841,1717582.088,390.372
243426.841,1717582.088,392.872
243426.841,1717584.588,387.872
243424.341,1717584.588,390.372
243424.341,1717584.588,392.872
243424.341,1717587.088,390.372
243424.341,1717587.088,392.872
243426.841,1717584.588,390.372
243426.841,1717584.588,392.872
243426.841,1717587.088,390.372
243426.841,1717587.088,392.872
243429.341,1717579.588,387.872
243429.341,1717582.088,387.872
243431.841,1717579.588,385.372
243431.841,1717579.588,387.872
243431.841,1717582.088,387.872
243429.341,1717579.588,390.372
243429.341,1717579.588,392.872
243429.341,1717582.088,390.372
243429.341,1717582.088,392.872
243431.841,1717579.588,390.372
243431.841,1717579.588,392.872
243431.841,1717582.088,390.372
243431.841,1717582.088,392.872
243429.341,1717584.588,387.872
243429.341,1717587.088,387.872
243431.841,1717584.588,387.872
243431.841,1717587.088,387.872
243429.341,1717584.588,390.372
243429.341,1717584.588,392.872
243429.341,1717587.088,390.372
243429.341,1717587.088,392.872
243431.841,1717584.588,390.372
243431.841,1717584.588,392.872
243431.841,1717587.088,390.372
243431.841,1717587.088,392.872
243421.841,1717582.088,395.372
243419.341,1717587.088,395.372
243421.841,1717584.588,395.372
243421.841,1717584.588,397.872
243421.841,1717587.088,395.372
243421.841,1717587.088,397.872
243421.841,1717584.588,400.372
243421.841,1717587.088,400.372
243424.341,1717572.088,395.372
243424.341,1717572.088,397.872
243426.841,1717569.588,395.372
243426.841,1717569.588,397.872
243426.841,1717572.088,395.372
243426.841,1717572.088,397.872
243424.341,1717572.088,400.372
243426.841,1717569.588,400.372
243426.841,1717572.088,400.372
243424.341,1717574.588,395.372
243424.341,1717574.588,397.872
243424.341,1717577.088,395.372
243424.341,1717577.088,397.872
243426.841,1717574.588,395.372
243426.841,1717574.588,397.872
243426.841,1717577.088,395.372
243426.841,1717577.088,397.872
243424.341,1717574.588,400.372
243424.341,1717577.088,400.372
